요일,통학방식,출발시간,도착시간,지각여부,소요시간,위도,경도
화,버스,7H 28M 0S,7H 56M 0S,정상 등교,28M 0S,37.2214059,126.9871955
금,버스,7H 28M 0S,7H 58M 0S,정상 등교,30M 0S,37.2214059,126.9871955
화,버스,7H 25M 0S,7H 58M 0S,정상 등교,33M 0S,37.2214059,126.9871955
수,버스,7H 28M 0S,7H 59M 0S,정상 등교,31M 0S,37.2214059,126.9871955
월,버스,7H 28M 0S,8H 0M 0S,정상 등교,1H -28M 0S,37.2214059,126.9871955
목,버스,7H 27M 0S,8H 3M 0S,정상 등교,1H -24M 0S,37.2214059,126.9871955
금,버스,7H 25M 0S,8H 3M 0S,정상 등교,1H -22M 0S,37.2214059,126.9871955
수,버스,7H 49M 0S,8H 18M 0S,정상 등교,1H -31M 0S,37.2214059,126.9871955
월,버스,7H 53M 0S,8H 29M 0S,정상 등교,1H -24M 0S,37.2214059,126.9871955
금,버스,7H 58M 0S,8H 31M 0S,정상 등교,1H -27M 0S,37.2214059,126.9871955
월,버스,7H 50M 0S,8H 34M 0S,정상 등교,1H -16M 0S,37.2214059,126.9871955
수,버스,7H 41M 0S,7H 57M 0S,정상 등교,16M 0S,37.2262151,126.9705076
화,버스,7H 39M 0S,7H 59M 0S,정상 등교,20M 0S,37.2262151,126.9705076
수,버스,7H 47M 0S,8H 0M 0S,정상 등교,1H -47M 0S,37.2262151,126.9705076
금,버스,7H 50M 0S,8H 2M 0S,정상 등교,1H -48M 0S,37.2262151,126.9705076
수,버스,7H 45M 0S,8H 3M 0S,정상 등교,1H -42M 0S,37.2262151,126.9705076
화,버스,7H 47M 0S,8H 5M 0S,정상 등교,1H -42M 0S,37.2262151,126.9705076
월,버스,7H 47M 0S,8H 5M 0S,정상 등교,1H -42M 0S,37.2262151,126.9705076
화,버스,7H 47M 0S,8H 7M 0S,정상 등교,1H -40M 0S,37.2262151,126.9705076
수,버스,7H 50M 0S,8H 8M 0S,정상 등교,1H -42M 0S,37.2262151,126.9705076
목,버스,7H 45M 0S,8H 8M 0S,정상 등교,1H -37M 0S,37.2262151,126.9705076
금,버스,7H 39M 0S,8H 8M 0S,정상 등교,1H -31M 0S,37.2262151,126.9705076
화,버스,7H 47M 0S,8H 11M 0S,정상 등교,1H -36M 0S,37.2262151,126.9705076
월,버스,7H 38M 0S,7H 58M 0S,정상 등교,20M 0S,37.2128572,126.9731614
월,자가용(부모님),8H 13M 0S,8H 30M 0S,정상 등교,17M 0S,37.2128572,126.9731614
수,자가용(부모님),8H 17M 0S,8H 33M 0S,정상 등교,16M 0S,37.2128572,126.9731614
화,자가용(부모님),8H 16M 0S,8H 36M 0S,정상 등교,20M 0S,37.2128572,126.9731614
금,자가용(부모님),8H 13M 0S,8H 37M 0S,정상 등교,24M 0S,37.2128572,126.9731614
목,자가용(부모님),8H 18M 0S,8H 38M 0S,정상 등교,20M 0S,37.2128572,126.9731614
목,자가용(부모님),8H 18M 0S,8H 38M 0S,정상 등교,20M 0S,37.2128572,126.9731614
월,자가용(부모님),8H 18M 0S,8H 39M 0S,정상 등교,21M 0S,37.2128572,126.9731614
금,자가용(부모님),8H 18M 0S,8H 40M 0S,정상 등교,22M 0S,37.2128572,126.9731614
수,자가용(부모님),8H 17M 0S,8H 40M 0S,정상 등교,23M 0S,37.2128572,126.9731614
화,자가용(부모님),8H 18M 0S,8H 41M 0S,정상 등교,23M 0S,37.2128572,126.9731614
화,자가용(부모님),8H 19M 0S,8H 42M 0S,정상 등교,23M 0S,37.2128572,126.9731614
목,버스,7H 28M 0S,7H 58M 0S,정상 등교,30M 0S,37.2214059,126.9871955
목,버스,7H 27M 0S,7H 58M 0S,정상 등교,31M 0S,37.2214059,126.9871955
목,버스,7H 25M 0S,7H 58M 0S,정상 등교,33M 0S,37.2214059,126.9871955
금,버스,7H 25M 0S,7H 58M 0S,정상 등교,33M 0S,37.2214059,126.9871955
화,버스,7H 27M 0S,7H 59M 0S,정상 등교,32M 0S,37.2214059,126.9871955
화,버스,7H 30M 0S,8H 0M 0S,정상 등교,1H -30M 0S,37.2214059,126.9871955
목,버스,7H 28M 0S,8H 0M 0S,정상 등교,1H -28M 0S,37.2214059,126.9871955
수,버스,7H 25M 0S,8H 0M 0S,정상 등교,1H -25M 0S,37.2214059,126.9871955
금,버스,7H 25M 0S,8H 0M 0S,정상 등교,1H -25M 0S,37.2214059,126.9871955
화,버스,7H 25M 0S,8H 0M 0S,정상 등교,1H -25M 0S,37.2214059,126.9871955
수,버스,7H 25M 0S,8H 0M 0S,정상 등교,1H -25M 0S,37.2214059,126.9871955
월,버스,7H 25M 0S,8H 0M 0S,정상 등교,1H -25M 0S,37.2214059,126.9871955
금,버스,7H 25M 0S,8H 0M 0S,정상 등교,1H -25M 0S,37.2214059,126.9871955
금,버스,7H 25M 0S,8H 0M 0S,정상 등교,1H -25M 0S,37.2214059,126.9871955
수,버스,7H 25M 0S,8H 1M 0S,정상 등교,1H -24M 0S,37.2214059,126.9871955
월,버스,7H 25M 0S,8H 4M 0S,정상 등교,1H -21M 0S,37.2214059,126.9871955
월,도보,7H 52M 0S,7H 59M 0S,정상 등교,7M 0S,37.2163644,126.9566889
목,도보,7H 52M 0S,8H 1M 0S,정상 등교,1H -51M 0S,37.2163644,126.9566889
월,도보,8H 35M 0S,8H 41M 0S,정상 등교,6M 0S,37.2163644,126.9566889
수,도보,8H 35M 0S,8H 42M 0S,정상 등교,7M 0S,37.2163644,126.9566889
수,도보,8H 37M 0S,8H 46M 0S,정상 등교,9M 0S,37.2163644,126.9566889
금,도보,8H 39M 0S,8H 47M 0S,정상 등교,8M 0S,37.2163644,126.9566889
화,도보,8H 41M 0S,8H 48M 0S,정상 등교,7M 0S,37.2163644,126.9566889
화,도보,8H 40M 0S,8H 48M 0S,정상 등교,8M 0S,37.2163644,126.9566889
목,도보,8H 40M 0S,8H 48M 0S,정상 등교,8M 0S,37.2163644,126.9566889
월,도보,8H 41M 0S,8H 49M 0S,정상 등교,8M 0S,37.2163644,126.9566889
화,도보,8H 41M 0S,8H 49M 0S,정상 등교,8M 0S,37.2163644,126.9566889
금,도보,8H 40M 0S,8H 49M 0S,정상 등교,9M 0S,37.2163644,126.9566889
수,버스,7H 31M 0S,7H 59M 0S,정상 등교,28M 0S,37.2107072,126.970365
목,버스,7H 43M 0S,8H 4M 0S,정상 등교,1H -39M 0S,37.2107072,126.970365
금,버스,7H 43M 0S,8H 10M 0S,정상 등교,1H -33M 0S,37.2107072,126.970365
목,버스,7H 41M 0S,8H 14M 0S,정상 등교,1H -27M 0S,37.2107072,126.970365
월,버스,7H 38M 0S,8H 15M 0S,정상 등교,1H -23M 0S,37.2107072,126.970365
화,버스,7H 40M 0S,8H 17M 0S,정상 등교,1H -23M 0S,37.2107072,126.970365
금,버스,7H 41M 0S,8H 20M 0S,정상 등교,1H -21M 0S,37.2107072,126.970365
수,버스,7H 55M 0S,8H 23M 0S,정상 등교,1H -32M 0S,37.2107072,126.970365
월,버스,7H 47M 0S,8H 26M 0S,정상 등교,1H -21M 0S,37.2107072,126.970365
화,버스,7H 51M 0S,8H 31M 0S,정상 등교,1H -20M 0S,37.2107072,126.970365
월,자가용(부모님),7H 50M 0S,8H 0M 0S,정상 등교,1H -50M 0S,37.2151922,126.9747578
목,자가용(부모님),7H 50M 0S,8H 5M 0S,정상 등교,1H -45M 0S,37.2151922,126.9747578
